account position pnl
noise-10 174 66.27
mm 102 123.93
noise-2 -96 257.32
mm 65 291.21
mm 28 317.21
mm -9 328.41
noise-10 211 148.05
noise-10 248 232.45
noise-10 285 331.65
noise-6 -4 437.52
noise-10 317 343.05
noise-9 312 1598.57
noise-3 -133 -1198.04
noise-9 371 1598.57
noise-8 44 97.33
noise-9 391 1598.57
noise-7 20 -97.35
noise-9 415 1598.57
noise-4 -404 -1574.78
noise-4 -413 -1255.62
noise-9 454 1598.57
noise-1 40 -259.41
noise-5 -319 -66.29
noise-4 -449 -1338.22
mm 27 314.10
mm 67 314.10
mm 39 369.04
mm 11 385.03
mm -17 389.54
noise-3 -173 -1119.57
noise-1 68 -250.21
noise-1 96 -222.33
noise-1 124 -182.97
noise-6 -28 423.44
noise-1 148 -142.05
noise-1 229 -142.05
noise-9 426 2225.09
noise-10 236 1458.89
noise-1 257 -142.05
noise-8 0 -42.59
noise-9 360 665.93
noise-5 -324 1203.33
noise-7 25 -192.75
noise-7 69 -153.00
noise-7 135 -90.90
noise-2 -112 -345.56
noise-7 151 441.00
noise-2 -98 -185.40
noise-2 -70 -185.40
noise-2 -66 -185.40
noise-4 -477 -1706.40
noise-8 19 -42.59
noise-8 38 -34.80
noise-8 57 -19.22
noise-8 121 -1.55
noise-8 153 -1.55
noise-8 173 -1.55
noise-8 202 -1.55
noise-7 122 363.99
noise-7 108 251.75
mm -44 507.35
mm -71 490.63
mm -98 463.65
mm -117 -40.07
mm -136 -88.04
mm -155 -143.80
noise-3 -205 -1420.59
noise-10 172 1404.61
noise-6 -48 429.88
noise-1 284 -2007.87
noise-1 311 -1899.95
noise-1 338 -1781.77
noise-5 -328 -416.67
mm -168 900.90
mm -181 837.06
mm -194 768.28
noise-9 373 -637.27
noise-9 386 -495.53
noise-9 399 -348.85
noise-9 477 1139.42
mm -190 1063.16
noise-1 260 -527.79
noise-5 -332 1843.25
noise-4 -453 979.11
noise-3 -229 -77.84
noise-4 -401 86.70
noise-4 -369 -350.39
mm -200 -10.34
mm -210 -92.34
mm -220 -178.44
noise-4 -359 -841.16
noise-4 -349 -988.35
noise-4 -339 -1131.44
noise-7 76 -25.81
noise-10 120 616.85
noise-2 -59 -199.92
mm -227 -319.24
mm -234 -412.31
noise-2 -52 -224.11
noise-2 -36 -240.75
noise-6 -64 428.44
mm -232 217.15
mm -230 312.27
noise-4 -341 -575.48
noise-4 -343 -435.67
noise-4 -345 -295.04
mm -228 406.57
noise-4 -389 332.86
noise-8 124 -411.61
noise-10 164 492.05
noise-10 242 1080.81
noise-2 -64 -238.95
noise-10 270 1567.23
noise-1 196 150.81
noise-3 -165 -1589.24
mm -233 -562.43
noise-9 482 2575.19
noise-9 494 2753.53
noise-6 -76 377.88
noise-9 522 2753.53
noise-7 48 301.75
noise-6 -88 614.24
noise-9 416 1130.11
noise-5 -320 10.61
noise-8 64 -443.85
noise-5 -214 10.61
noise-5 -154 10.61
mm -181 -445.93
noise-1 144 131.21
noise-2 -88 -237.03
mm -157 -445.93
mm -125 -445.93
noise-3 -197 -1572.74
mm -105 -445.93
noise-7 28 259.99
mm -65 -445.93
noise-4 -429 -1833.87
mm -49 -445.93
noise-7 12 259.99
mm -11 -445.93
noise-5 -192 -334.35
mm -3 -445.93
noise-6 -96 417.12
mm 37 -445.93
noise-1 104 131.21
mm 57 -445.93
noise-2 -108 -237.03
mm 89 -445.93
noise-4 -461 -1833.87
mm 117 -445.93
noise-3 -225 -1572.74
noise-9 332 1741.63
mm 201 -536.02
mm 271 -536.02
noise-10 200 1351.23
mm 215 -308.38
mm 159 -218.08
noise-8 120 -296.01
noise-8 176 -245.61
noise-8 232 -171.69
mm 103 -151.30
mm 135 -324.34
noise-5 -224 -186.51
mm 219 -324.34
noise-8 148 -561.45
mm 247 -324.34
noise-4 -489 -1478.90
mm 303 -324.34
noise-10 144 1351.23
noise-2 -124 -153.87
mm 319 -324.34
mm 351 -324.34
noise-1 72 51.13
mm 371 -1752.91
noise-3 -245 -483.74
noise-9 264 1004.59
mm 307 -90.83
mm 243 35.04
mm 205 134.67
noise-6 -28 704.16
noise-6 36 630.52
noise-6 100 645.28
noise-6 138 686.28
mm 179 134.67
noise-7 38 265.51
noise-2 -77 251.61
noise-2 -30 220.81
mm 132 -670.83
mm 85 -618.03
mm 38 -584.03
noise-2 17 208.81
noise-2 35 275.62
noise-7 20 274.25
noise-2 51 275.62
noise-3 -261 -1838.59
noise-2 104 275.62
noise-6 85 718.02
noise-6 84 633.02
noise-1 73 84.25
noise-4 -509 -1664.72
noise-10 164 1405.95
noise-8 80 -505.21
noise-10 232 1405.95
noise-5 -248 -271.63
noise-10 256 1405.95
mm 6 -601.51
mm -26 -599.11
mm -58 -609.51
noise-9 296 817.15
noise-9 328 935.55
noise-9 360 1066.75
noise-9 376 1523.95
noise-7 4 227.85
noise-6 40 522.14
noise-9 420 1523.95
noise-9 445 1523.95
noise-1 48 -12.11
noise-4 -519 -1033.56
noise-9 455 1523.95
noise-4 -525 393.69
noise-8 28 -951.61
mm -81 -706.95
mm -104 -740.16
noise-2 156 -417.02
noise-2 162 -168.98
noise-2 185 342.94
noise-2 208 418.79
mm -122 -812.96
mm -140 -864.20
noise-3 -243 -1629.79
noise-3 -225 -1731.85
noise-3 -157 -1810.60
noise-10 188 1674.75
noise-5 -268 -532.03
noise-3 -137 -1810.60
noise-4 -541 -661.56
mm -124 -489.00
mm -68 -489.00
noise-10 132 1105.11
mm -48 -489.00
noise-1 28 -47.63
noise-2 240 -870.81
noise-2 252 -405.21
noise-2 261 481.83
noise-2 270 588.84
noise-2 279 699.54
noise-2 323 1369.14
noise-2 363 1369.14
noise-2 370 1369.14
noise-9 448 3025.45
noise-8 -16 -737.69
noise-7 -8 214.09
mm -57 -528.36
mm -66 -551.73
mm -75 -578.79
noise-3 -177 -1948.97
noise-6 8 306.94
noise-2 260 -125.66
noise-4 -553 -1516.34
noise-8 -48 -698.33
noise-7 -16 179.85
mm 35 -455.79
mm 63 -455.79
mm 42 -330.42
mm 21 -313.20
mm 0 -304.59
noise-3 -209 -1513.55
