account position pnl
noise-7 -16 1546.27
mm 12 1835.00
mm 36 1826.36
mm 6 1869.56
mm -24 1872.44
mm -54 1860.92
noise-3 -313 -5453.87
noise-10 -24 2398.21
noise-6 -108 956.72
noise-1 510 4671.64
noise-1 412 4110.64
noise-5 -316 -3590.68
mm 8 1977.56
noise-1 382 2619.20
noise-1 320 1125.58
mm 20 1977.56
noise-10 -36 2605.33
noise-8 270 -2925.08
noise-7 -24 1561.31
noise-8 278 -2457.98
mm -11 2106.56
noise-9 542 9012.94
noise-9 573 9289.36
noise-9 604 9581.59
mm -42 2100.95
mm -73 2079.53
noise-4 -506 -10955.86
noise-9 617 10107.07
noise-4 -513 -10910.32
noise-3 -306 -5882.68
noise-6 -112 143.48
noise-3 -302 -5882.68
noise-3 -294 -5882.68
noise-5 -324 -3470.60
noise-2 -60 -1602.83
noise-3 -262 -5882.68
